time,pH,H+,NO2-,NO3-,H2O2,HONO_total,HONO2_total,H2O2_total,ONOOH_total,O3,NO,Cl-,OH,O3-,HClO
277.0,4.399600866999388,3.98473214229018e-05,2.606844030298609e-06,4.649085624818916e-05,8.434857135028751e-06,2.867768122246666e-06,4.649094092542601e-05,8.4348576089199e-06,7.875979657889016e-13,3.2451906785214686e-09,1e-30,0.15400001860389265,1.2521411220012192e-14,5.163239180451451e-15,4.1291926176550873e-10
278.0,4.397711890922325,4.002101594013609e-05,2.6131730199810474e-06,4.669093927548956e-05,8.465076840378632e-06,2.8758707225659884e-06,4.669102468784914e-05,8.465077313903504e-06,7.885490892005269e-13,3.23284527388489e-09,1e-30,0.1540000186009834,1.2027891967857646e-14,5.154058391380444e-15,4.1629949923604535e-10
279.0,4.395836549346779,4.019420569114321e-05,2.619502881986664e-06,4.6890502782718494e-05,8.495295152342573e-06,2.8839764846618657e-06,4.6890588931341506e-05,8.495295625510197e-06,7.454680019978636e-13,3.221587521751855e-09,1e-30,0.15400001859479898,1.240870302700283e-14,5.1352245960764455e-15,4.229624226537804e-10
280.0,4.393956497732013,4.036858272127179e-05,2.625799877716104e-06,4.709129794617873e-05,8.52552374890885e-06,2.8920593862442064e-06,4.7091384839052966e-05,8.525524221708957e-06,7.961976780500246e-13,3.2086385197493393e-09,1e-30,0.15400001859893078,1.1478897100204142e-14,4.955764611851386e-15,4.165909480037421e-10
281.0,4.392084233082947,4.054298931370578e-05,2.6321004874695683e-06,4.72921157263422e-05,8.55575607495671e-06,2.9001519817134745e-06,4.729220336677439e-05,8.555756547392321e-06,8.104807533859552e-13,3.1964586465609746e-09,1e-30,0.15400001860585977,1.190930825098694e-14,4.724805458627483e-15,4.097622975506952e-10
282.0,4.3902169417689665,4.0717683122138504e-05,2.638383379815332e-06,4.7492999429232236e-05,8.585901129961335e-06,2.9082324716181165e-06,4.749308782117038e-05,8.585901602027447e-06,9.550452887937872e-13,3.1605051318946397e-09,1e-30,0.15400001911849875,1.2166895420294134e-14,5.2956755598121976e-15,3.4777005764799355e-10
283.0,4.388360814389604,4.0892078479052766e-05,2.644649424768687e-06,4.769381157705792e-05,8.616096088275766e-06,2.9162979149902173e-06,4.769390072292577e-05,8.616096559981709e-06,9.195226001688307e-13,3.1640569088617457e-09,1e-30,0.1540000190988361,1.243457196198882e-14,5.287055782075979e-15,3.6645367093367e-10
284.0,4.386508822599034,4.106682971519117e-05,2.6509470337154097e-06,4.78949553864875e-05,8.64631609794551e-06,2.9244060378981854e-06,4.7895045290888215e-05,8.646316569291626e-06,8.260938526727397e-13,3.1587752433031394e-09,1e-30,0.15400001908744926,1.2752516701663132e-14,5.285244911771015e-15,3.7627242908993626e-10
285.0,4.384645479123491,4.1243405761351295e-05,2.6572294763824866e-06,4.8097976500637814e-05,8.676545909607114e-06,2.932515132109551e-06,4.8098067174335504e-05,8.676546380576142e-06,7.823839229073719e-13,3.1357315831349776e-09,1e-30,0.15400001914127828,1.1139453029729958e-14,5.170868473752602e-15,3.2171674454518987e-10
286.0,4.382803860952438,4.1418669041501035e-05,2.6634947665125852e-06,4.829967297916819e-05,8.706768778728402e-06,2.94060207928612e-06,4.829976442003396e-05,8.706769249338098e-06,8.519072093303693e-13,3.1331148231480738e-09,1e-30,0.15400001913639308,1.2466667908694752e-14,5.378510530822436e-15,3.289133924313946e-10
287.0,4.38097175974609,4.159376562052121e-05,2.6697329945540918e-06,4.85012062687866e-05,8.736978934845335e-06,2.9486635355199023e-06,4.8501298479372236e-05,8.736979405099931e-06,8.511285221951763e-13,3.1235752026668065e-09,1e-30,0.15400001911951255,1.113593186695408e-14,5.275888732400604e-15,3.4530477369894225e-10
288.0,4.379116831726336,4.177179791317522e-05,2.675242958590473e-06,4.8704845520272246e-05,8.76656803151919e-06,2.9559455344308384e-06,4.8704938514360004e-05,8.76656850135535e-06,3.859660324297942e-12,3.0802058077381484e-09,1e-30,0.15400002031891294,8.264915865119929e-15,5.346814097606196e-15,6.062589117261193e-10
289.0,4.377292382731437,4.1947648218764943e-05,2.6815065116273305e-06,4.890701739979172e-05,8.796776042222834e-06,2.964050761432435e-06,4.8907111173004435e-05,8.79677651170156e-06,1.7672736431871378e-12,3.09241196845177e-09,1e-30,0.15400002035342994,1.3626187557784608e-14,4.956919656570844e-15,5.747778240645119e-10
290.0,4.375473502146017,4.2123698713971904e-05,2.6876309376307873e-06,4.910917319569449e-05,8.826832195698786e-06,2.9720090253545194e-06,4.910926775170063e-05,8.826832664812763e-06,1.4114516820941978e-12,3.0521227551856818e-09,1e-30,0.15400002112002684,1.4219176638612064e-14,6.1552098331074415e-15,4.850423118001297e-10
