Time,O3,NO,NO2,NO3,N2O4,N2O5,HONO,HONO2,R2,Plasma_Type,Humidity_Weight
152.0,1347423362189452.5,0.0,1500113439762213.0,224878413775362.0,0.0,384739822631903.25,0.0,0.0,0.9890250515072855,O3_dominant,0.0
153.0,1343352515010065.8,0.0,1517840654741541.8,227588247456059.34,0.0,384971847976868.2,0.0,0.0,0.9888503233118662,O3_dominant,0.0
154.0,1338634043501838.5,0.0,1530951332490899.2,228408778743624.28,0.0,370280689925616.8,0.0,0.0,0.9884659496977319,O3_dominant,0.0
155.0,1332710274290069.5,0.0,1557563966582034.2,230795050241725.94,0.0,378873718333121.7,0.0,0.0,0.9880554321574869,O3_dominant,0.0
156.0,1329813195928179.2,0.0,1497952482746885.2,229714979106191.28,0.0,391332915436165.25,0.0,0.0,0.9881307106830314,O3_dominant,0.0
157.0,1325097145706103.2,0.0,1516075206236552.5,231574012942151.03,0.0,384342054941973.25,0.0,0.0,0.9880821632408292,O3_dominant,0.0
158.0,1321244943308448.2,0.0,1492370059657437.5,231704168736919.22,0.0,373193907906347.06,0.0,0.0,0.9881342345181574,O3_dominant,0.0
159.0,1319539670092513.5,0.0,1527094054844859.8,233056242112285.75,0.0,371718319168478.75,0.0,0.0,0.9880278969130399,O3_dominant,0.0
160.0,1315113605227417.8,0.0,1579892406169879.2,233411009219002.62,0.0,390909854165059.44,0.0,0.0,0.9878118705940562,O3_dominant,0.0
161.0,1314796380437672.5,0.0,1602102927059132.0,238879451239433.9,0.0,386970869453216.06,0.0,0.0,0.9873146372904111,O3_dominant,0.0
162.0,1310920103751689.5,0.0,1525314010664738.0,233789708088308.56,0.0,377869618114324.44,0.0,0.0,0.9876773083252607,O3_dominant,0.0
163.0,1307520489048729.8,0.0,1580775724543318.5,242888189404749.94,0.0,380085067160776.5,0.0,0.0,0.9864226719374319,O3_dominant,0.0
164.0,1301281751554223.8,0.0,1516074490140014.2,240242912268637.94,0.0,387101982163347.7,0.0,0.0,0.9870132701052549,O3_dominant,0.0
165.0,1296450254953439.0,0.0,1505867208011384.5,239264098048763.22,0.0,381484598327478.0,0.0,0.0,0.9870447529615436,O3_dominant,0.0
166.0,1292537963410098.8,0.0,1494017876537705.5,236343085735879.78,0.0,378489706755593.8,0.0,0.0,0.9869421947705145,O3_dominant,0.0
167.0,1290508543769049.8,0.0,1688861805758674.8,250638477246458.2,0.0,384251578819049.6,0.0,0.0,0.9854959585574975,O3_dominant,0.0
168.0,1279083223065731.2,0.0,1510664908162248.8,245695410439251.34,0.0,383180669704543.6,0.0,0.0,0.9861987654671484,O3_dominant,0.0
169.0,1277905943346652.8,0.0,1621216264317217.0,248174088507521.66,0.0,384020529494597.1,0.0,0.0,0.9854234663900349,O3_dominant,0.0
170.0,1271449317098533.5,0.0,1552380811681345.8,246022975074518.75,0.0,401733450990933.7,0.0,0.0,0.9858030682888063,O3_dominant,0.0
171.0,1269021076658090.5,0.0,1575032746487651.5,247014156458784.1,0.0,386803716123904.4,0.0,0.0,0.9852776964548513,O3_dominant,0.0
172.0,1265283258168942.2,0.0,1598126467932043.5,250399463148963.88,0.0,391741986245610.6,0.0,0.0,0.9855403198368301,O3_dominant,0.0
173.0,1262231992610377.0,0.0,1573682777698550.8,242909939951036.06,0.0,368067389734528.06,0.0,0.0,0.9855691012545337,O3_dominant,0.0
174.0,1257376949188878.5,0.0,1611976092427795.0,250503493103923.47,0.0,397025439518137.94,0.0,0.0,0.9850159000859486,O3_dominant,0.0
175.0,1252167849577315.5,0.0,1544853037298364.0,250384783335046.4,0.0,405767139033356.06,0.0,0.0,0.9846547140487444,O3_dominant,0.0
176.0,1250850210509644.8,0.0,1588033109443255.8,247413764926465.88,0.0,389110081037983.4,0.0,0.0,0.9847639067421875,O3_dominant,0.0
