Index,Time,Initial_pH,Final_pH,NO_nM,NO2_nM,NO2-_uM,NO3-_uM,H+_uM,OH-_nM,OH_pM,ONOO-_nM,HONO_uM,HONO2_uM,O3_gas,NO2_gas,N2O4_gas,HONO_gas,HONO2_gas,H2O2_gas,N2O4_source,plasma_on
69,69.0,6.5,5.136453791090183,1e-11,31.834548345439003,0.258897420456844,6.728628137869157,7.303755206558608,1.3691587022358336,1e-08,1.00840244031311e-05,0.004747439616878663,1e-14,1.3696067727039556e+16,928166236448564.5,236241821439.2914,7211658.1426738445,934155249431954.0,2739213545407.911,equilibrium,True
70,70.0,6.5,5.133782144310574,1.9380290163887374e-08,31.853364372307983,0.2625662229901741,6.770028191161439,7.348824157061708,1.3607619105669124,2.1504222765037895e-06,1.4906178587427103e-05,0.004804189136805662,1e-14,1.3742157044150986e+16,945019639088138.4,244898947088.53323,7475930.701614257,936852262141669.6,2748431408830.1973,equilibrium,True
71,71.0,6.5,5.1336318892789095,2.1771331776893755e-08,31.85240249030454,0.2616818560649667,6.773455296857277,7.351367106343559,1.3602912023559037,1.907671094026918e-06,1.3494255272077761e-05,0.004832165131691608,1e-14,1.3783592137266728e+16,946754930004210.2,245799163500.45694,7503411.24243326,936261088507316.6,2756718427453.3457,equilibrium,True
72,72.0,6.5,5.1343228998307655,1.9456070448798566e-08,31.845632585519645,0.2593099281778656,6.764139879532354,7.339679568795126,1.3624572988939534,2.1408395547247015e-06,1.4986583772593781e-05,0.004780752822929262,1e-14,1.3821829064026574e+16,940779087932213.4,242706026550.89783,7408988.306931023,935985093943496.5,2764365812805.315,equilibrium,True
73,73.0,6.5,5.136820065599333,1e-11,31.8273727258312,0.2531218460073161,6.728164964704048,7.297597975261129,1.3703139079406395,1.8890697160914665e-06,1.3552144809194253e-05,0.00463991055563939,1e-14,1.385654723675654e+16,920296865037909.4,232252894527.40182,7089889.790781707,934763192790416.0,2771309447351.308,equilibrium,True
74,74.0,6.5,5.1339782213708895,1.967312178049917e-08,31.849613603627127,0.2550491987481885,6.774226868678146,7.345507028554101,1.361376411618744,2.4696385674453215e-06,1.7360987017857314e-05,0.004705933517551499,1e-14,1.389311237293222e+16,930086836817225.1,237220515871.49203,7241534.3501470545,940067824762574.5,2778622474586.444,equilibrium,True
75,75.0,6.5,5.133771793346883,1.922955819236558e-08,31.843064168950683,0.251907333434849,6.780862133624909,7.348999310838005,1.3607294785427122,2.186450127238531e-06,1.5432153305501124e-05,0.0046501724920537234,1e-14,1.3928509649862068e+16,920710229179396.0,232461580622.06763,7096260.26644385,943469180426265.9,2785701929972.4136,equilibrium,True
76,76.0,6.5,5.130969133849004,1.950550485135903e-08,31.842087521057927,0.25224707075905084,6.828102363717764,7.396578421073488,1.3519764721964285,2.419714837603265e-06,1.6876765066150026e-05,0.004686590882944705,1e-14,1.3962311866146274e+16,924058998461462.0,234155655190.59772,7147974.592815043,950737720773406.8,2792462373229.255,equilibrium,True
77,77.0,6.5,5.132119855704483,1.868361724681798e-08,31.829358678370102,0.248746106495055,6.812030196479931,7.377006129243598,1.3555634663777307,1e-08,1.411168232606853e-05,0.004609315984871908,1e-14,1.3989631898201376e+16,913226260151617.8,228697824082.2061,6981365.5990544455,950467592988614.2,2797926379640.2754,equilibrium,True
78,78.0,6.5,5.13207118137039,1e-11,31.827511646131427,0.2505019161378081,6.811101196658161,7.377832966789111,1.3554115476809543,1.9940062219280973e-06,1.4157892404375926e-05,0.004642371768916578,1e-14,1.4012928519125878e+16,922548656322432.2,233390842261.50836,7124627.4591276795,947577004492583.2,2802585703825.176,equilibrium,True
