time,pH,H+,NO2-,NO3-,H2O2,HONO_total,HONO2_total,H2O2_total,ONOOH_total,O3,NO,NO2_aq,N2O4,N2O5
52.0,5.347066591701394,4.497108940594071e-06,7.364223170077902e-07,5.4963053111462204e-06,1.6149555702185984e-06,7.447411106162155e-07,5.49630644095321e-06,1.6149563741651383e-06,9.470908151028805e-17,1.0624175725809236e-08,1e-30,1.435557605052693e-10,1.17390112020137e-15,1e-30
53.0,5.3348451474365675,4.62545917929142e-06,7.48124896190273e-07,5.647365929983283e-06,1.6454264555760325e-06,7.568170811703341e-07,5.647367123973538e-06,1.6454272519620442e-06,7.807196007757141e-17,1.05350583211867e-08,1e-30,2.3681649137121125e-10,3.1946063732994915e-15,1e-30
54.0,5.3228903480178005,4.754552551680211e-06,7.597769581798833e-07,5.799211688015119e-06,1.6758973489224661e-06,7.688508954068857e-07,5.799212948328694e-06,1.6758981380328566e-06,2e-30,1.0448982753350783e-08,1e-30,3.157510555682606e-10,5.679170661486085e-15,1e-30
55.0,5.311192507007685,4.88435805456464e-06,7.713632593970458e-07,5.951827027679505e-06,1.706368225714765e-06,7.80827078759538e-07,5.951828356473921e-06,1.7063690078201255e-06,8.541029702809966e-17,1.0368179643191246e-08,1e-30,2.906763467811258e-10,4.812988328019119e-15,1e-30
56.0,5.299905363762437,5.012964582299249e-06,7.829054997042681e-07,6.103282662581851e-06,1.7368391115322953e-06,7.92763843968322e-07,6.103284061067842e-06,1.73683988718079e-06,6.684905944146841e-17,1.0285012162197176e-08,1e-30,3.667460678168307e-10,7.661758829088337e-15,1e-30
57.0,5.2887537058447105,5.14335255226884e-06,7.943926862827245e-07,6.256564324299253e-06,1.7673099934978586e-06,8.04655856485902e-07,6.2565657951960696e-06,1.7673107627459708e-06,3.797101760060691e-17,1.0194635898178678e-08,1e-30,3.290203300572703e-10,6.166548543353889e-15,1e-30
58.0,5.277808069840895,5.274629145209328e-06,8.058341275708309e-07,6.410771494441603e-06,1.7977808916069995e-06,8.165108410034976e-07,6.4107730400598184e-06,1.7977816546426506e-06,1.5689874852341782e-16,1.0103282139616583e-08,1e-30,3.914574811066044e-10,8.729072590760766e-15,1e-30
59.0,5.267115809152958,5.406101443899261e-06,8.172389863036955e-07,6.565203290843017e-06,1.8282517673512849e-06,8.283366936314098e-07,6.565204913147504e-06,1.8282525244487831e-06,2e-30,1.0010153969764017e-08,1e-30,4.5917222204787694e-10,1.201026146611834e-14,1e-30
60.0,5.256637045402257,5.538127559286363e-06,8.286055137751887e-07,6.720218967322904e-06,1.8587226651202436e-06,8.401323672735441e-07,6.720220668487669e-06,1.8587234164864185e-06,1.8047753842058894e-16,9.920531693503654e-09,1e-30,5.088494762816759e-10,1.4749647178202777e-14,1e-30
61.0,5.246358657976778,5.670760975647143e-06,8.399286770530451e-07,6.875876935444751e-06,1.8891935613064973e-06,8.518928794499453e-07,6.875878717698091e-06,1.8891943071283683e-06,4.251386389092174e-17,9.828039540648027e-09,1e-30,5.177225604947999e-10,1.5268520240653756e-14,1e-30
62.0,5.236243785882232,5.804385040190211e-06,8.512086795985376e-07,7.032559492588321e-06,1.9196644254932197e-06,8.636192647157877e-07,7.032561358407827e-06,1.9196651658978098e-06,2.6484745651436e-16,9.741275217892161e-09,1e-30,5.39201005694831e-10,1.6561718716549782e-14,1e-30
63.0,5.226271050709661,5.939213663051419e-06,8.6241211405208e-07,7.190513995183527e-06,1.9501352249350423e-06,8.752781214737446e-07,7.1905159472243015e-06,1.9501359600170243e-06,2e-30,9.652608389122924e-09,1e-30,6.058231787227004e-10,2.090727464506184e-14,1e-30
64.0,5.2165712199520256,6.073356577222587e-06,8.73579841382898e-07,7.3478128044870554e-06,1.980606001890338e-06,8.869068102692294e-07,7.3478148442836555e-06,1.9806067319684205e-06,3.746626893922411e-16,9.56763817263651e-09,1e-30,6.509179799755191e-10,2.4135728440062567e-14,1e-30
65.0,5.20695240510542,6.209370797999366e-06,8.847448661845761e-07,7.5069738227135266e-06,2.011076895706204e-06,8.985444391189906e-07,7.5069759533654005e-06,2.011077620778116e-06,3.3968194872495167e-16,9.486329649002769e-09,1e-30,6.333079119376451e-10,2.2847416197675445e-14,1e-30
66.0,5.197633703340191,6.344045610207103e-06,8.957990020129373e-07,7.66490332552095e-06,2.041547622292088e-06,9.100740267969593e-07,7.664905548180666e-06,2.041548342724458e-06,5.12903144793335e-16,9.414003880398859e-09,1e-30,6.753167884131202e-10,2.597908255803113e-14,1e-30
67.0,5.188481417284515,6.4791581788148e-06,9.068137306617117e-07,7.823301991622047e-06,2.072018333544057e-06,9.215720420769764e-07,7.823304308529452e-06,2.0720190494813923e-06,6.13176822611569e-16,9.338761409064106e-09,1e-30,7.099333746252749e-10,2.87107871242123e-14,1e-30
68.0,5.179552708611904,6.613742642216254e-06,9.177855560470311e-07,7.981209752009326e-06,2.102489037894694e-06,9.330327003272991e-07,7.981212164779835e-06,2.1024897495774594e-06,6.656685459765376e-16,9.272270784288032e-09,1e-30,7.318931389244047e-10,3.051448366268268e-14,1e-30
69.0,5.170668870064476,6.7504252098040884e-06,9.286263202664188e-07,8.141336444441116e-06,2.132959499422151e-06,9.443723881257307e-07,8.141338956482747e-06,2.1329602068000375e-06,1.0383595246820274e-15,9.207876647241154e-09,1e-30,8.063062157099792e-10,3.7035077137429833e-14,1e-30
70.0,5.1620056105929635,6.886433997938213e-06,9.395902137942394e-07,8.300657767992968e-06,2.163430328284727e-06,9.558431890506427e-07,8.300660380797362e-06,2.1634310315975313e-06,2.6676993469982557e-15,9.136256572551382e-09,1e-30,7.46489762711225e-10,3.1743798446778716e-14,1e-30
71.0,5.153425462272287,7.023838831584796e-06,9.503884328851977e-07,8.46153305640505e-06,2.193900902271115e-06,9.671562172250456e-07,8.461535772991894e-06,2.193901601537206e-06,1.492062924251714e-15,9.06488144427329e-09,1e-30,7.849248855887022e-10,3.509689511868653e-14,1e-30
72.0,5.144919030009654,7.162769406472934e-06,9.611641990579333e-07,8.623945646918773e-06,2.224371502205031e-06,9.784575261538442e-07,8.623948470413498e-06,2.2243721974315862e-06,7.794968421469879e-16,8.98978292723197e-09,1e-30,8.06054265935974e-10,3.701193501303157e-14,1e-30
73.0,5.136676138426843,7.300016833308855e-06,9.719273349221233e-07,8.784684394165429e-06,2.2548421715372706e-06,9.89749384939007e-07,8.784687325396292e-06,2.254842863037434e-06,7.119349079126455e-16,8.926322542075354e-09,1e-30,8.071742980962608e-10,3.711486782338876e-14,1e-30
74.0,5.128529961602572,7.438237453773192e-06,9.826044110830795e-07,8.946474022012156e-06,2.285312693423296e-06,1.0009633994996892e-06,8.946477063751137e-06,2.285313381244553e-06,9.7615848830896e-16,8.860855121894878e-09,1e-30,8.510251074748496e-10,4.125717890628676e-14,1e-30
75.0,5.120412298818679,7.5785775878027076e-06,9.93300205370283e-07,9.110351199990077e-06,2.315783401258899e-06,1.0122091907671373e-06,9.110354355887075e-06,2.3157840853441636e-06,8.382842143859263e-16,8.7921382361353e-09,1e-30,8.094781956834841e-10,3.732703727743006e-14,1e-30
76.0,5.112573996167779,7.716600270400394e-06,1.0039146809200899e-06,9.271991997269154e-06,2.3462539876199997e-06,1.023373783571962e-06,9.271995267655432e-06,2.3462546683094505e-06,9.07284539815404e-16,8.731815902368547e-09,1e-30,8.241958755253058e-10,3.8696771238313355e-14,1e-30
77.0,5.104873111845651,7.854650910307702e-06,1.014515299347508e-06,9.433667282247232e-06,2.3767246258668797e-06,1.0345316771195083e-06,9.433670669186764e-06,2.376725303277464e-06,2e-30,8.66746606560389e-09,1e-30,8.394704173402082e-10,4.014424449885836e-14,1e-30
78.0,5.097167968190771,7.995249700825394e-06,1.0250148694399152e-06,9.597979730607147e-06,2.407195070934506e-06,1.0456004062862802e-06,9.597983238221674e-06,2.407195744964548e-06,8.847779083542579e-16,8.599427654893653e-09,1e-30,8.688706598088276e-10,4.300566441405567e-14,1e-30
79.0,5.089703264006763,8.133860804163967e-06,1.03554084487402e-06,9.760275141835208e-06,2.437665676081991e-06,1.0566983263570113e-06,9.760278770599811e-06,2.437666347012292e-06,9.903057901331906e-16,8.545686767288084e-09,1e-30,8.663629021284972e-10,4.275776595818756e-14,1e-30
80.0,5.082200243486038,8.275605060656425e-06,1.045964471444699e-06,9.925792487302216e-06,2.468136146541717e-06,1.067707332446474e-06,9.925796241913214e-06,2.468136814223237e-06,1.1353811547876248e-15,8.488205595023884e-09,1e-30,8.80571432585416e-10,4.41717886194781e-14,1e-30
81.0,5.07481723072689,8.417493104135297e-06,1.0563602972370206e-06,1.009147405252329e-05,2.4986066330654044e-06,1.0786957540566311e-06,1.0091477935254951e-05,2.4986072975962115e-06,7.270992900493438e-16,8.432498456841963e-09,1e-30,8.979619312837061e-10,4.5933715065082855e-14,1e-30
82.0,5.067675901349385,8.557050571643769e-06,1.0667326638131272e-06,1.0254847655391537e-05,2.529077092597005e-06,1.0896613775511445e-06,1.0254851666397535e-05,2.5290777542617108e-06,8.842207446551383e-16,8.379501040725865e-09,1e-30,9.201034401624849e-10,4.822699806122568e-14,1e-30
83.0,5.0605467708333185,8.698677486368767e-06,1.0770603982331136e-06,1.0420323328874449e-05,2.559547563876405e-06,1.1005942648161843e-06,1.0420327472060386e-05,2.5595482226102466e-06,1.1621031297940437e-15,8.318681693570404e-09,1e-30,9.269952282695026e-10,4.895222099272762e-14,1e-30
84.0,5.053495269494546,8.841067991852932e-06,1.0873414485352814e-06,1.058660071304703e-05,2.5900179860271474e-06,1.1114888650801647e-06,1.058660499124881e-05,2.590018641867372e-06,7.632297032747973e-16,8.256538801795663e-09,1e-30,9.36806094694358e-10,4.999384871935323e-14,1e-30
85.0,5.046529240393949,8.98402102472693e-06,1.0975806295271124e-06,1.075347436344377e-05,2.6204883581527747e-06,1.1223495565431595e-06,1.0753478779347164e-05,2.6204890111502096e-06,1.3858721268770912e-15,8.199248587183552e-09,1e-30,9.45538296894762e-10,5.093030647683177e-14,1e-30
86.0,5.0396868871046445,9.126686080634762e-06,1.1078071816793803e-06,1.0920066278545176e-05,2.6509588550695465e-06,1.1332038816961205e-06,1.0920070834069683e-05,2.6509595053337908e-06,7.757413590113571e-16,8.147911921780709e-09,1e-30,9.24660689482214e-10,4.8705926445642466e-14,1e-30
87.0,5.032893908297692,9.270562618190274e-06,1.1179614882848646e-06,1.1087932726949198e-05,2.681429213972669e-06,1.1439950107844985e-06,1.1087937425421533e-05,2.6814298615031923e-06,1.3181931426303073e-15,8.092555963939289e-09,1e-30,9.558133022881543e-10,5.204326544379543e-14,1e-30
88.0,5.026138455306234,9.4158936515325e-06,1.1281149142865143e-06,1.1257242959636284e-05,2.711899692908979e-06,1.1547966996079424e-06,1.1257247804634081e-05,2.7119003376897505e-06,1.3128823080775116e-15,8.03917615173679e-09,1e-30,9.535902533571773e-10,5.180145144143152e-14,1e-30
89.0,5.019649089448354,9.557645331980962e-06,1.1382454641240955e-06,1.1422999942047978e-05,2.7423702368698205e-06,1.1655721420930176e-06,1.1423004932398886e-05,2.74237087922492e-06,1.1959897762906454e-15,7.994794013046587e-09,1e-30,9.32678401896222e-10,4.9554310396002666e-14,1e-30
90.0,5.01322498257711,9.700073329828406e-06,1.1482710656825818e-06,1.1589531393474847e-05,2.772840528432478e-06,1.176249244332706e-06,1.1589536532028479e-05,2.7728411683881255e-06,2e-30,7.943335664026764e-09,1e-30,9.601577343582425e-10,5.251734781706539e-14,1e-30
91.0,5.006805643455856,9.844515714045718e-06,1.1583119200088464e-06,1.1758048444653987e-05,2.803310955620973e-06,1.1869550109696038e-06,1.1758053735554577e-05,2.8033115931161713e-06,1.0231220237839535e-15,7.887536514881307e-09,1e-30,9.72931337046538e-10,5.3924157838534386e-14,1e-30
