Time,O3,NO,NO2,NO3,N2O4,N2O5,HONO,HONO2,R2,Plasma_Type,Humidity_Weight,Saturated_Excluded
149.0,8.442320060226952e+16,0.0,1283170070067339.0,56730975290492.07,0.0,1.0855014056539058e+16,0.0,0.0,0.9928050439546366,mixed,0.0,77
150.0,8.464765847530517e+16,0.0,1270839912387463.8,53731731804530.7,0.0,1.093378094280029e+16,0.0,0.0,0.9927057023171342,mixed,0.0,77
151.0,8.479932346345259e+16,0.0,1254140708455796.5,51884876131636.96,0.0,1.091633960606362e+16,0.0,0.0,0.9927171520059934,mixed,0.0,77
152.0,8.49059901597906e+16,0.0,1307214735607741.0,52065035450956.875,0.0,1.0939478709185098e+16,0.0,0.0,0.9926725561458949,mixed,0.0,77
153.0,8.516148923068608e+16,0.0,1321550061751946.0,57899633409574.484,0.0,1.0950953795539354e+16,0.0,0.0,0.9925568536429652,mixed,0.0,78
154.0,8.574606424537026e+16,0.0,1327284362003504.2,63655010914066.76,0.0,1.0600428097873542e+16,0.0,0.0,0.9926418010925122,mixed,0.0,79
155.0,8.58502110011575e+16,0.0,1342576271165408.8,50785805127530.7,0.0,1.0735691328220488e+16,0.0,0.0,0.9926829069936314,mixed,0.0,79
156.0,8.599219450951003e+16,0.0,1333035834780321.0,65054209302230.2,0.0,1.0784278410889684e+16,0.0,0.0,0.9926405568735882,mixed,0.0,79
157.0,8.613347415641083e+16,0.0,1322447065949364.2,58838488766819.08,0.0,1.0903311647890442e+16,0.0,0.0,0.9926187381067711,mixed,0.0,79
158.0,8.625459595960984e+16,0.0,1321431987376323.5,66476382991730.53,0.0,1.0855704018646086e+16,0.0,0.0,0.992572389514519,mixed,0.0,79
159.0,8.643631266676594e+16,0.0,1325287940931983.0,62159856910232.28,0.0,1.0896393473596708e+16,0.0,0.0,0.9925821545291771,mixed,0.0,79
160.0,8.657008886182277e+16,0.0,1359866942333752.2,62769706199905.94,0.0,1.0833170353947402e+16,0.0,0.0,0.9926172777331776,mixed,0.0,79
161.0,8.671965698471768e+16,0.0,1330714022578884.8,48620369690756.41,0.0,1.0878498684170326e+16,0.0,0.0,0.9925958526032488,mixed,0.0,79
162.0,8.685896755836318e+16,0.0,1348810383192208.2,63960933276888.05,0.0,1.0960630895366612e+16,0.0,0.0,0.992572846935841,mixed,0.0,79
163.0,8.699913431821435e+16,0.0,1400950948884073.8,41335912567337.875,0.0,1.1039236784861952e+16,0.0,0.0,0.9924896974791507,mixed,0.0,79
164.0,8.719624950026454e+16,0.0,1364407163227539.8,69184498025903.95,0.0,1.1061754777808134e+16,0.0,0.0,0.9924525748968462,mixed,0.0,79
165.0,8.731797750234934e+16,0.0,1362736154296657.0,64647042527762.04,0.0,1.1066119096284396e+16,0.0,0.0,0.9924702469900218,mixed,0.0,79
166.0,8.745752671848837e+16,0.0,1448327889301033.0,61187917919954.17,0.0,1.1022601739042276e+16,0.0,0.0,0.9925349934363679,mixed,0.0,79
167.0,8.759528070866563e+16,0.0,1430346647051739.0,63893827109016.195,0.0,1.102415771626207e+16,0.0,0.0,0.992506945557924,mixed,0.0,79
168.0,8.781988785585826e+16,0.0,1425698756803333.8,62411399316968.414,0.0,1.111442291046227e+16,0.0,0.0,0.9922895613254621,mixed,0.0,80
169.0,8.821567980273792e+16,0.0,1457600201713277.0,60722582186416.414,0.0,1.0895474658302678e+16,0.0,0.0,0.9926380178627497,mixed,0.0,80
170.0,8.847332840893467e+16,0.0,1531239895084522.2,66915274390217.445,0.0,1.0888182164392348e+16,0.0,0.0,0.9923465076218233,mixed,0.0,81
171.0,8.857745856320594e+16,0.0,1418137418285357.8,63489609197062.56,0.0,1.0922361741953154e+16,0.0,0.0,0.9923760069060261,mixed,0.0,81
172.0,8.869036906846669e+16,0.0,1392465818588170.5,57482095642851.62,0.0,1.0897274020807846e+16,0.0,0.0,0.9923614604999534,mixed,0.0,81
173.0,8.8832569608536e+16,0.0,1546309591163869.2,53975561853179.53,0.0,1.0935807447920154e+16,0.0,0.0,0.9923487161640732,mixed,0.0,81
174.0,8.897349636646808e+16,0.0,1496296263786350.5,54557016822820.28,0.0,1.0951739127044314e+16,0.0,0.0,0.9923770484039732,mixed,0.0,81
175.0,8.906998841977368e+16,0.0,1468499432033843.5,68447637004193.6,0.0,1.0996133470447032e+16,0.0,0.0,0.9923446795159474,mixed,0.0,81
176.0,8.917934793044706e+16,0.0,1549238078869395.5,70238811892059.99,0.0,1.0959205690618628e+16,0.0,0.0,0.9923770363837355,mixed,0.0,81
177.0,8.933697374965936e+16,0.0,1462933210318849.5,59739976938686.03,0.0,1.1030581377378702e+16,0.0,0.0,0.9923210498290639,mixed,0.0,81
178.0,8.951387383636653e+16,0.0,1512182261634913.8,76827510734764.3,0.0,1.1059224786444818e+16,0.0,0.0,0.9923002803076081,mixed,0.0,81
179.0,8.96282907885185e+16,0.0,1561735375558151.0,64844675691090.54,0.0,1.1139472688396246e+16,0.0,0.0,0.9922663396092776,mixed,0.0,81
180.0,8.96775766678906e+16,0.0,1535132195399807.0,71903951710383.39,0.0,1.1203640366277908e+16,0.0,0.0,0.9922694489656585,mixed,0.0,81
181.0,8.982911019218462e+16,0.0,1552191107132953.0,68181834540022.04,0.0,1.1191434277807838e+16,0.0,0.0,0.992302801458528,mixed,0.0,81
