Time,O3,NO,NO2,NO3,N2O4,N2O5,HONO,HONO2,R2,Plasma_Type,Humidity_Weight
148.0,1.4023850201182116e+16,0.0,1034238421532767.9,45539166895962.84,0.0,1235951282899069.2,0.0,0.0,0.9995281793944576,O3_dominant,0.0
149.0,1.401723009010406e+16,0.0,1108496557271104.6,58943669560702.29,0.0,1225205982836917.0,0.0,0.0,0.9995317172143704,O3_dominant,0.0
150.0,1.3993022414662458e+16,0.0,958644990732455.1,44877421499794.805,0.0,1224196858578365.5,0.0,0.0,0.9995324763990217,O3_dominant,0.0
151.0,1.3989764837244546e+16,0.0,966877762395079.6,45931851546681.15,0.0,1230064811272280.2,0.0,0.0,0.9995356377322584,O3_dominant,0.0
152.0,1.3994306937259264e+16,0.0,1008833871106576.2,45395817704444.76,0.0,1235794505610415.5,0.0,0.0,0.9995274899872434,O3_dominant,0.0
153.0,1.3996201262996398e+16,0.0,926626007177561.5,44432625941743.836,0.0,1217439048589252.2,0.0,0.0,0.999529881822138,O3_dominant,0.0
154.0,1.399243189894111e+16,0.0,972810547538919.9,43618939806035.586,0.0,1242404850321281.5,0.0,0.0,0.9995267095368098,O3_dominant,0.0
155.0,1.3983621854509036e+16,0.0,1020270709239325.9,49038387332507.75,0.0,1246314098409784.0,0.0,0.0,0.9995322707813092,O3_dominant,0.0
156.0,1.3975519850585644e+16,0.0,982352474304433.6,48203586851850.75,0.0,1229289908624923.2,0.0,0.0,0.9995330350648861,O3_dominant,0.0
157.0,1.398262348719872e+16,0.0,1127851558057514.5,55338366568950.945,0.0,1237652135789397.5,0.0,0.0,0.9995305143721928,O3_dominant,0.0
158.0,1.3960773207477416e+16,0.0,960517989810184.9,46815363377010.14,0.0,1236247052988340.8,0.0,0.0,0.9995312389486068,O3_dominant,0.0
159.0,1.3956511407478182e+16,0.0,1023070417016177.2,43996833689644.59,0.0,1235264433521155.2,0.0,0.0,0.9995292785628789,O3_dominant,0.0
160.0,1.3937361242376726e+16,0.0,943653076801245.5,48754733290157.64,0.0,1255460032880570.5,0.0,0.0,0.9995289677848311,O3_dominant,0.0
161.0,1.3926348878040892e+16,0.0,1011595339179052.4,45413865349758.555,0.0,1236568105069265.5,0.0,0.0,0.9995276624543604,O3_dominant,0.0
162.0,1.3909997964774556e+16,0.0,1036136868474327.5,46535315528398.27,0.0,1209601411568587.2,0.0,0.0,0.9995299206801367,O3_dominant,0.0
163.0,1.3886595318797704e+16,0.0,1019005379334240.6,43439884558768.97,0.0,1236948026572338.0,0.0,0.0,0.9995294224509399,O3_dominant,0.0
164.0,1.3868494537522916e+16,0.0,971177016074761.2,40988258959285.1,0.0,1235771860515060.8,0.0,0.0,0.9995275657101419,O3_dominant,0.0
165.0,1.38535275470505e+16,0.0,965667867613780.6,43943381718643.625,0.0,1236992326351427.5,0.0,0.0,0.9995409077670245,O3_dominant,0.0
166.0,1.3846528482903352e+16,0.0,978457340847794.0,45314278371300.44,0.0,1240974027407836.8,0.0,0.0,0.9995274238080832,O3_dominant,0.0
167.0,1.3825977628677044e+16,0.0,986639812515503.5,49269425661194.74,0.0,1236554966176971.2,0.0,0.0,0.9995241248944442,O3_dominant,0.0
168.0,1.3819962338830774e+16,0.0,1033858229714884.5,52556818300550.13,0.0,1241054623271716.0,0.0,0.0,0.9995243120415387,O3_dominant,0.0
169.0,1.38040354630898e+16,0.0,1018071077636043.4,51106624799739.27,0.0,1219678145248076.2,0.0,0.0,0.9995316310233566,O3_dominant,0.0
170.0,1.3782818706370628e+16,0.0,959353448140616.6,44235806123187.54,0.0,1223391945090791.0,0.0,0.0,0.99952513118234,O3_dominant,0.0
171.0,1.3762903876726688e+16,0.0,968973440896710.6,48553470222549.234,0.0,1238391461505338.2,0.0,0.0,0.9995377192273394,O3_dominant,0.0
172.0,1.3754825352747394e+16,0.0,1033187107905396.1,54680311039429.625,0.0,1247946205851237.2,0.0,0.0,0.9995363955789044,O3_dominant,0.0
173.0,1.3743529281983146e+16,0.0,1009948992394435.5,50598489159848.42,0.0,1243192974580457.8,0.0,0.0,0.9995250644353887,O3_dominant,0.0
174.0,1.3731258092906562e+16,0.0,971368859594427.6,48728832718754.31,0.0,1227826178403056.5,0.0,0.0,0.9995337551529074,O3_dominant,0.0
175.0,1.3727718104118594e+16,0.0,1029812120369832.2,49705009018116.67,0.0,1246211810111756.5,0.0,0.0,0.99951997632876,O3_dominant,0.0
176.0,1.3719094608701078e+16,0.0,1067539979135371.2,53541530056877.57,0.0,1256373885988814.2,0.0,0.0,0.9995338259415324,O3_dominant,0.0
177.0,1.3688671974766556e+16,0.0,919020246096431.0,45581944023106.05,0.0,1230787047509215.0,0.0,0.0,0.999528146475871,O3_dominant,0.0
178.0,1.3670164852444262e+16,0.0,977413131732098.4,51502574642936.31,0.0,1229138362355132.2,0.0,0.0,0.9995274691352621,O3_dominant,0.0
179.0,1.3656933835067278e+16,0.0,952912317448931.6,51265642792933.1,0.0,1227053497044082.0,0.0,0.0,0.9995303292435069,O3_dominant,0.0
