Time,O3,NO,NO2,NO3,N2O4,N2O5,HONO,HONO2,R2,Plasma_Type,Humidity_Weight,N2O4_source,N2O4_equilibrium,H2O2,plasma_on,O3_mol_L,NO_mol_L,NO2_mol_L,NO3_mol_L,N2O4_mol_L,N2O5_mol_L,HONO_mol_L,HONO2_mol_L
43.0,1.1882121425796482e+16,0.0,752003721105167.1,19689811833474.223,155076228106.62915,1058292875613126.2,4733949.037248301,846634305224487.6,0.9995436249228628,O3_dominant,0.0,equilibrium,155076228106.62915,2376424285159.2964,True,1.972432156682216e-05,0.0,1.2483261770345773e-06,3.2685087643567205e-08,2.574265386570044e-10,1.7567661735177894e-06,7.85835540183218e-15,1.4054129466726495e-06
44.0,1.1978027323936708e+16,0.0,774331724495066.8,22036228084486.836,164421783784.82397,1066291730253605.8,5019237.0201035505,853033389222160.4,0.9995495598155884,O3_dominant,0.0,equilibrium,164421783784.82397,2395605464787.342,True,1.9883525357734935e-05,0.0,1.2853906626618108e-06,3.6580138620248146e-08,2.729401610828078e-10,1.7700442722209855e-06,8.331933453371893e-15,1.4160354261087862e-06
45.0,1.2078101020584592e+16,0.0,813220091123115.0,24595618047808.945,181351624087.83524,1074161503261021.6,5536047.3796391245,859329208144905.4,0.999550369218538,O3_dominant,0.0,equilibrium,181351624087.83524,2415620204116.9185,True,2.0049647694170423e-05,0.0,1.349945351264371e-06,4.0828725959362846e-08,3.010436959858065e-10,1.783108095413296e-06,9.189838650200947e-15,1.4264864855205428e-06
46.0,1.2176418428895624e+16,0.0,840248520326039.8,27121424648553.12,193606869478.25906,1083755097718391.5,5910158.2786825765,867004084084913.5,0.99954086794038,O3_dominant,0.0,equilibrium,193606869478.25906,2435283685779.125,True,2.0212854591966734e-05,0.0,1.3948125437412259e-06,4.502156491659818e-08,3.2138740333391e-10,1.7990334622125298e-06,9.810862742613077e-15,1.4392267795809564e-06
47.0,1.2273366211400624e+16,0.0,848546365270914.8,26961642650088.64,197449666720.19705,1093389660025785.0,6027465.78948497,874711734048136.1,0.9995440741315342,O3_dominant,0.0,equilibrium,197449666720.19705,2454673242280.125,True,2.0373787910925035e-05,0.0,1.4085869663497184e-06,4.475632679914714e-08,3.277664467555271e-10,1.815026835642803e-06,1.000559321054505e-14,1.4520214785199059e-06
48.0,1.2368866910101924e+16,0.0,843285579520718.8,27802037817440.875,195008974110.60242,1097954015779682.0,5952959.757384002,878363218576747.5,0.9995400088047024,O3_dominant,0.0,equilibrium,195008974110.60242,2473773382020.385,True,2.053231907076919e-05,0.0,1.399854062004393e-06,4.6151382776951853e-08,3.237148970236e-10,1.822603666194272e-06,9.881913197257444e-15,1.4580829428374007e-06
49.0,1.2462152553867148e+16,0.0,845858111061298.2,26442335504754.902,196200579759.80222,1103411898112178.1,5989335.419112957,882729524479120.1,0.9995395218805356,O3_dominant,0.0,equilibrium,196200579759.80222,2492430510773.4297,True,2.0687173239419463e-05,0.0,1.4041244643617551e-06,4.389427693789314e-08,3.2569296240127165e-10,1.8316637508662157e-06,9.942296795727508e-15,1.4653310106353393e-06
50.0,1.2544865396330084e+16,0.0,847272632829241.1,25601929864182.406,196857337773.74176,1110550278483658.0,6009384.004287832,888440228796352.9,0.9995505425843912,O3_dominant,0.0,equilibrium,196857337773.74176,2508973079266.0166,True,2.082447655790794e-05,0.0,1.4064725704965403e-06,4.249920357454279e-08,3.2678318070441133e-10,1.8435134622828723e-06,9.975577447117802e-15,1.4748107798019457e-06
51.0,1.2617103864950534e+16,0.0,842559119356862.0,25711361385227.637,194673132411.09406,1112703310261975.0,5942707.65421212,890162654152329.8,0.9995444224214716,O3_dominant,0.0,equilibrium,194673132411.09406,2523420772990.107,True,2.0944392415817886e-05,0.0,1.3986481381323908e-06,4.2680859899477874e-08,3.231573998024161e-10,1.8470874950348784e-06,9.864894705992119e-15,1.4776700058928674e-06
52.0,1.2677928553684392e+16,0.0,836374402674543.8,24238460191957.203,191825666325.8377,1116161947383367.6,5855784.2134148115,892929563762520.2,0.9995490730773336,O3_dominant,0.0,equilibrium,191825666325.8377,2535585710736.8784,True,2.104536139911609e-05,0.0,1.3883815084397426e-06,4.023584391864896e-08,3.184306061008906e-10,1.8528288326563902e-06,9.720601794268587e-15,1.4822630758457835e-06
53.0,1.2731937974529294e+16,0.0,846029751013161.2,25423074851638.656,196280213150.66583,1121709747994744.2,5991766.355295855,897367804387604.1,0.9995405409152844,O3_dominant,0.0,equilibrium,196280213150.66583,2546387594905.859,True,2.1135017037718628e-05,0.0,1.4044093866818476e-06,4.220230425372017e-08,3.2582515383010525e-10,1.8620381816712753e-06,9.946332149791118e-15,1.4896305552834228e-06
54.0,1.2784272410826272e+16,0.0,865301220748806.1,28411461178912.062,205324078707.1654,1124091466486101.8,6267844.766325791,899273179456769.5,0.999543741241302,O3_dominant,0.0,equilibrium,205324078707.1654,2556854482165.2544,True,2.122189220197161e-05,0.0,1.4364000264430181e-06,4.7163025556994025e-08,3.4083797065389453e-10,1.8659918343669288e-06,1.0404622312100813e-14,1.4927934778982372e-06
55.0,1.283715583284476e+16,0.0,880493869020093.6,31288911783394.61,212597387080.51328,1124253393318553.9,6489874.097268412,899402721144761.2,0.9995464583461472,O3_dominant,0.0,equilibrium,212597387080.51328,2567431166568.952,True,2.13096786825223e-05,0.0,1.4616198225733554e-06,5.193959356043505e-08,3.52911662553652e-10,1.8662606329087994e-06,1.0773191001465564e-14,1.4930085171003035e-06
56.0,1.2891642002233482e+16,0.0,889649895792868.2,33161262281722.6,217041865927.4809,1123625761468291.5,6625548.898078023,898900615800226.6,0.9995489420789369,O3_dominant,0.0,equilibrium,217041865927.4809,2578328400446.6963,True,2.140012572370758e-05,0.0,1.4768188270161612e-06,5.5047695387659514e-08,3.602894974396183e-10,1.8652187640373637e-06,1.0998411170809519e-14,1.492175022228376e-06
57.0,1.2952267784278378e+16,0.0,898876681490008.8,34812238631613.36,221567204546.1995,1123672459746703.8,6763692.072301835,898937974561100.1,0.9995454316978768,O3_dominant,0.0,equilibrium,221567204546.1995,2590453556855.676,True,2.1500764521902106e-05,0.0,1.4921352912734145e-06,5.778831612847817e-08,3.6780155954669115e-10,1.8652962831795281e-06,1.1227728840021045e-14,1.4922370377714262e-06
58.0,1.301542266511574e+16,0.0,904622289598641.8,36495435638798.72,224408766632.74033,1123115912840027.0,6850435.284128034,898492737122502.1,0.9995382587462,O3_dominant,0.0,equilibrium,224408766632.74033,2603084533023.148,True,2.160560162409213e-05,0.0,1.5016730007337453e-06,6.058242316040588e-08,3.7251855261034893e-10,1.8643724153144448e-06,1.1371722571652535e-14,1.4914979436233534e-06
59.0,1.30803130369445e+16,0.0,897331547626012.5,34569070078537.355,220806128518.85028,1130104332407375.0,6740459.013496295,904083472666403.9,0.9995486535780882,O3_dominant,0.0,equilibrium,220806128518.85028,2616062607388.9,True,2.171331964132787e-05,0.0,1.4895703690591806e-06,5.738465633037201e-08,3.6653817334129147e-10,1.8759731917962425e-06,1.1189161962403849e-14,1.5007785646262304e-06
60.0,1.3146458819626822e+16,0.0,903107468735520.8,32636666341391.414,223657835629.43106,1135077230843824.5,6827511.918351355,908061791502616.6,0.9995396341690582,O3_dominant,0.0,equilibrium,223657835629.43106,2629291763925.3643,True,2.1823121640580523e-05,0.0,1.4991583981009645e-06,5.417686612670974e-08,3.7127200714485554e-10,1.8842282032007485e-06,1.1333669784463248e-14,1.5073825738943435e-06
61.0,1.3210055072764576e+16,0.0,897330306031174.9,33442343052330.555,220805517481.46875,1138479490467921.2,6740440.360606298,910783599114822.2,0.9995431980217472,O3_dominant,0.0,equilibrium,220805517481.46875,2642011014552.915,True,2.1928691420789195e-05,0.0,1.4895683080117502e-06,5.551428946686872e-08,3.6653715901923813e-10,1.8898759541767492e-06,1.1189130998606455e-14,1.5119007745306049e-06
